"Age.group" "Age.label" "Province" "Year" "Obs" "Pop"
3 "[45-50)" 2 1986 0 8594
4 "[50-55)" 2 1986 5 10232
5 "[55-60)" 2 1986 7 10576
6 "[60-65)" 2 1986 8 9503
7 "[65-70)" 2 1986 1 7456
8 "[70-75)" 2 1986 8 6736
9 "[75-80)" 2 1986 2 5237
10 "[80-85)" 2 1986 5 3495
11 "[85,85+)" 2 1986 0 2008
1 "[0-40)" 3 1986 2 373222
2 "[40-45)" 3 1986 6 34734
3 "[45-50)" 3 1986 12 32730
4 "[50-55)" 3 1986 19 34778
5 "[55-60)" 3 1986 16 34779
6 "[60-65)" 3 1986 19 32592
7 "[65-70)" 3 1986 11 26030
8 "[70-75)" 3 1986 18 21638
9 "[75-80)" 3 1986 15 16525
10 "[80-85)" 3 1986 22 10716
11 "[85,85+)" 3 1986 4 6471
1 "[0-40)" 4 1986 2 137870
2 "[40-45)" 4 1986 0 10760
3 "[45-50)" 4 1986 4 10879
4 "[50-55)" 4 1986 0 11784
5 "[55-60)" 4 1986 0 11919
6 "[60-65)" 4 1986 4 10011
7 "[65-70)" 4 1986 3 8073
8 "[70-75)" 4 1986 7 7361
9 "[75-80)" 4 1986 10 6024
10 "[80-85)" 4 1986 5 3566
11 "[85,85+)" 4 1986 3 2426
1 "[0-40)" 5 1986 2 44995
2 "[40-45)" 5 1986 0 4449
3 "[45-50)" 5 1986 1 4408
4 "[50-55)" 5 1986 1 5501
5 "[55-60)" 5 1986 1 5914
6 "[60-65)" 5 1986 3 6382
7 "[65-70)" 5 1986 2 5017
8 "[70-75)" 5 1986 2 4504
9 "[75-80)" 5 1986 3 3830
10 "[80-85)" 5 1986 1 2627
11 "[85,85+)" 5 1986 0 1744
1 "[0-40)" 6 1986 2 188997
2 "[40-45)" 6 1986 0 16481
3 "[45-50)" 6 1986 8 15869
4 "[50-55)" 6 1986 8 20473
5 "[55-60)" 6 1986 8 19213
6 "[60-65)" 6 1986 11 17974
7 "[65-70)" 6 1986 9 15246
8 "[70-75)" 6 1986 4 13820
9 "[75-80)" 6 1986 9 11415
10 "[80-85)" 6 1986 12 7819
11 "[85,85+)" 6 1986 3 4547
1 "[0-40)" 7 1986 6 193623
2 "[40-45)" 7 1986 3 20348
3 "[45-50)" 7 1986 9 17418
4 "[50-55)" 7 1986 7 19125
5 "[55-60)" 7 1986 17 18945
6 "[60-65)" 7 1986 9 18015
7 "[65-70)" 7 1986 13 15615
8 "[70-75)" 7 1986 16 13829
9 "[75-80)" 7 1986 22 11242
10 "[80-85)" 7 1986 7 7481
11 "[85,85+)" 7 1986 11 4808
1 "[0-40)" 8 1986 34 1350773
2 "[40-45)" 8 1986 30 150309
3 "[45-50)" 8 1986 41 128811
4 "[50-55)" 8 1986 70 145712
5 "[55-60)" 8 1986 101 139223
6 "[60-65)" 8 1986 69 127379
7 "[65-70)" 8 1986 53 102825
8 "[70-75)" 8 1986 71 88119
9 "[75-80)" 8 1986 66 70840
10 "[80-85)" 8 1986 36 46820
11 "[85,85+)" 8 1986 26 29447
1 "[0-40)" 9 1986 1 97154
2 "[40-45)" 9 1986 0 9493
3 "[45-50)" 9 1986 0 8706
4 "[50-55)" 9 1986 9 10943
5 "[55-60)" 9 1986 1 11090
6 "[60-65)" 9 1986 13 11592
7 "[65-70)" 9 1986 5 8981
8 "[70-75)" 9 1986 1 7814
9 "[75-80)" 9 1986 6 6584
10 "[80-85)" 9 1986 0 4280
11 "[85,85+)" 9 1986 2 2838
1 "[0-40)" 10 1986 2 116603
2 "[40-45)" 10 1986 5 10119
3 "[45-50)" 10 1986 0 10477
4 "[50-55)" 10 1986 7 13257
5 "[55-60)" 10 1986 9 13814
6 "[60-65)" 10 1986 15 12382
7 "[65-70)" 10 1986 2 9874
8 "[70-75)" 10 1986 5 9335
9 "[75-80)" 10 1986 10 8454
10 "[80-85)" 10 1986 2 5193
11 "[85,85+)" 10 1986 8 3317
1 "[0-40)" 11 1986 6 347849
2 "[40-45)" 11 1986 5 28300
3 "[45-50)" 11 1986 7 24819
4 "[50-55)" 11 1986 4 26883
5 "[55-60)" 11 1986 11 24394
6 "[60-65)" 11 1986 16 20878
7 "[65-70)" 11 1986 12 16912
8 "[70-75)" 11 1986 11 14339
9 "[75-80)" 11 1986 8 11239
10 "[80-85)" 11 1986 17 7173
11 "[85,85+)" 11 1986 0 4153
1 "[0-40)" 12 1986 5 122708
2 "[40-45)" 12 1986 4 12910
3 "[45-50)" 12 1986 7 11362
4 "[50-55)" 12 1986 12 13363
5 "[55-60)" 12 1986 12 13373
6 "[60-65)" 12 1986 8 12813
7 "[65-70)" 12 1986 9 11033
8 "[70-75)" 12 1986 9 9521
9 "[75-80)" 12 1986 4 7989
10 "[80-85)" 12 1986 3 5184
11 "[85,85+)" 12 1986 6 3054
1 "[0-40)" 13 1986 2 135724
2 "[40-45)" 13 1986 1 12084
3 "[45-50)" 13 1986 6 12377
4 "[50-55)" 13 1986 6 15050
5 "[55-60)" 13 1986 7 15406
6 "[60-65)" 13 1986 13 14226
7 "[65-70)" 13 1986 5 11804
8 "[70-75)" 13 1986 3 10991
